ID,FLOSS_TYPE_ID,COLOR,NAME,RGB
1,1,Ecru,Ecru,#F0EADA
2,1,Blanc,Blanc,#FCFBF8
3,1,B5200,Snow White,#FFFFFF
4,1,01,White Tin,#E3E3E6
5,1,02,Tin,#D7D7D8
6,1,03,Tin Medium,#B8B8BB
7,1,04,Tin Dark,#AEAEB1
8,1,05,Driftwood Light,#E3CCBE
9,1,06,Driftwood Medium Light,#DCC6B8
10,1,07,Driftwood,#8F7B6E
11,1,08,Driftwood Dark,#6A5046
12,1,09,Cocoa Very Dark,#552014
13,1,10,Tender Green Very Light,#EDFED9
14,1,11,Tender Green Light,#E2EDB5
15,1,12,Tender Green,#CDD99A
16,1,13,Nile Green Medium Light,#BFF6E0
17,1,14,Apple Green Pale,#D0FBB2
18,1,15,Apple Green,#D1EDA4
19,1,16,Chartreuse Light,#C9C258
20,1,17,Yellow Plum Light,#E5E272
21,1,18,Yellow Plum,#D9D56D
22,1,19,Autumn Gold medium Light,#F7C95F
23,1,20,Shrimp,#F7AF93
24,1,21,Alizarin Light,#D79982
25,1,22,Alizarin,#BC604E
26,1,23,Apple Blossom,#EDE2ED
27,1,24,White Lavender,#E0D7EE
28,1,25,Lavender Ultra Light,#DAD2E9
29,1,26,Lavender Pale,#D7CAE6
30,1,27,White Violet,#F0EEF9
31,1,28,Eggplant Medium Light,#9086A9
32,1,29,Eggplant,#674076
33,1,30,Blueberry Medium Light,#7D77A5
34,1,31,Blueberry,#50518D
35,1,32,Blueberry Dark,#4D2E8A
36,1,33,Fuschia,#9C599C
37,1,34,Fuschia Dark,#7D3064
38,1,35,Fuschia Very Dark,#46052D
39,1,150,Dusty Rose Ultra Very Dark,#AB0249
40,1,151,Dusty Rose Very Light,#F0CED4
41,1,152,Shell Pink Medium Light,#E2A099
42,1,153,Violet Very Light,#E6CCD9
43,1,154,Grape Very Dark,#572433
44,1,155,Blue Violet Medium Dark,#9891B6
45,1,156,Blue Violet Medium Light,#A3AED1
46,1,157,Cornflower Blue Very Light,#BBC3D9
47,1,158,Cornflower Blue Very Dark,#4C526E
48,1,159,Blue Gray Light,#C7CAD7
49,1,160,Blue Gray Medium,#999FB7
50,1,161,Blue Gray,#7880A4
51,1,162,Blue Ultra Very Light,#DBECF5
52,1,163,Celadon Green Medium,#4D8361
53,1,164,Forest Green Light,#C8D8B8
54,1,165,Moss Green Very Light,#EFF4A4
55,1,166,Moss Green Medium Light,#C0C840
56,1,167,Yellow Beige Very Dark,#A77C49
57,1,168,Pewter Very Light,#D1D1D1
58,1,169,Pewter Light,#848484
59,1,208,Lavender Very Dark,#835B8B
60,1,209,Lavender Dark,#A37BA7
61,1,210,Lavender Medium,#D29FC3
62,1,211,Lavender Light,#E3CBE3
63,1,221,Shell Pink Very Dark,#883E43
64,1,223,Shell Pink Light,#CC847C
65,1,224,Shell Pink Very Light,#EBB7AF
66,1,225,Shell Pink Ultra Very Light,#FFDFD7
67,1,300,Mahogany Very Dark,#6F2F00
68,1,301,Mahogany Medium,#B35F2B
69,1,304,Red Medium,#B71F33
70,1,307,Lemon,#FDED54
71,1,309,Rose Dark,#BA4A4A
72,1,310,Black,#000000
73,1,311,Wedgewood Ultra Very Dark,#1C5066
74,1,312,Baby Blue Very Dark,#35668B
75,1,315,Antique Mauve Medium Dark,#814952
76,1,316,Antique Mauve Medium,#B7737F
77,1,317,Pewter Gray,#6C6C6C
78,1,318,Steel Gray Light,#ABABAB
79,1,319,Pistachio Grn Very Dark,#205F2E
80,1,320,Pistachio Green Medium,#69885A
81,1,321,Red,#C72B3B
82,1,322,Baby Blue Dark,#5A8FB8
83,1,326,Rose Very Dark,#B33B4B
84,1,327,Violet Dark,#633666
85,1,333,Blue Violet Very Dark,#5C5478
86,1,334,Baby Blue Medium,#739FC1
87,1,335,Rose,#EE546E
88,1,336,Navy Blue,#253B73
89,1,340,Blue Violet Medium,#ADA7C7
90,1,341,Blue Violet Light,#B7BFDD
91,1,347,Salmon Very Dark,#BF2D2D
92,1,349,Coral Dark,#D21035
93,1,350,Coral Medium,#E04848
94,1,351,Coral,#E96A67
95,1,352,Coral Light,#FD9C97
96,1,353,Peach,#FED7CC
97,1,355,Terra Cotta Dark,#984436
98,1,356,Terra Cotta Medium,#C56A5B
99,1,367,Pistachio Green Dark,#617A52
100,1,368,Pistachio Green Light,#A6C298
101,1,369,Pistachio Green Very Light,#D7EDCC
102,1,370,Mustard Medium,#B89D64
103,1,371,Mustard,#BFA671
104,1,372,Mustard Light,#CCB784
105,1,400,Mahogany Dark,#8F430F
106,1,402,Mahogany Very Light,#F7A777
107,1,407,Desert Sand Medium,#BB8161
108,1,413,Pewter Gray Dark,#565656
109,1,414,Steel Gray Dark,#8C8C8C
110,1,415,Pearl Gray,#D3D3D6
111,1,420,Hazelnut Brown Dark,#A07042
112,1,422,Hazelnut Brown Light,#C69F7B
113,1,433,Brown Medium,#7A451F
114,1,434,Brown Light,#985E33
115,1,435,Brown Very Light,#B87748
116,1,436,Tan,#CB9051
117,1,437,Tan Light,#E4BB8E
118,1,444,Lemon Dark,#FFD600
119,1,445,Lemon Light,#FFFB8B
120,1,451,Shell Gray Dark,#917B73
121,1,452,Shell Gray Medium,#C0B3AE
122,1,453,Shell Gray Light,#D7CECB
123,1,469,Avocado Green,#72843C
124,1,470,Avocado Grn Light,#94AB4F
125,1,471,Avocado Grn Very Light,#AEBF79
126,1,472,Avocado Green Ultra Light,#D8E498
127,1,498,Red Dark,#A7132B
128,1,500,Blue Green Very Dark,#044D33
129,1,501,Blue Green Dark,#396F52
130,1,502,Blue Green,#5B9071
131,1,503,Blue Green Medium,#7BAC94
132,1,505,Jade Green,#338362
133,1,517,Wedgewood Dark,#3B768F
134,1,518,Wedgewood Light,#4F93A7
135,1,519,Sky Blue,#7EB1C8
136,1,520,Fern Green Dark,#666D4F
137,1,522,Fern Green,#969E7E
138,1,523,Fern Green Light,#ABB197
139,1,524,Fern Green Very Light,#C4CDAC
140,1,535,Ash Gray Very Light,#636458
141,1,543,Beige Brown Ultra Very Light,#F2E3CE
142,1,550,Violet Very Dark,#5C184E
143,1,552,Violet Medium,#803A6B
144,1,553,Violet,#A3638B
145,1,554,Violet Light,#DBB3CB
146,1,561,Celadon Green VD,#2C6A45
147,1,562,Jade Medium,#53976A
148,1,563,Jade Light,#8FC098
149,1,564,Jade Very Light,#A7CDAF
150,1,580,Moss Green Dark,#888D33
151,1,581,Moss Green,#A7AE38
152,1,597,Turquoise,#5BA3B3
153,1,598,Turquoise Light,#90C3CC
154,1,600,Cranberry Very Dark,#CD2F63
155,1,601,Cranberry Dark,#D1286A
156,1,602,Cranberry Medium,#E24874
157,1,603,Cranberry,#FFA4BE
158,1,604,Cranberry Light,#FFB0BE
159,1,605,Cranberry Very Light,#FFC0CD
160,1,606,Orange Red Bright,#FA3203
161,1,608,Burnt Orange Bright,#FD5D35
162,1,610,Drab Brown Dark,#796047
163,1,611,Drab Brown,#967656
164,1,612,Drab Brown Light,#BC9A78
165,1,613,Drab Brown Very Light,#DCC4AA
166,1,632,Desert Sand Ultra Very Dark,#875539
167,1,640,Beige Gray Very Dark,#857B61
168,1,642,Beige Gray Dark,#A49878
169,1,644,Beige Gray Medium,#DDD8CB
170,1,645,Beaver Gray Very Dark,#6E655C
171,1,646,Beaver Gray Dark,#877D73
172,1,647,Beaver Gray Medium,#B0A69C
173,1,648,Beaver Gray Light,#BCB4AC
174,1,666,Bright Red,#E31D42
175,1,676,Old Gold Light,#E5CE97
176,1,677,Old Gold Very Light,#F5ECCB
177,1,680,Old Gold Dark,#BC8D0E
178,1,699,Green,#056517
179,1,700,Green Bright,#07731B
180,1,701,Green Light,#3F8F29
181,1,702,Kelly Green,#47A72F
182,1,703,Chartreuse,#7BB547
183,1,704,Chartreuse Bright,#9ECF34
184,1,712,Cream,#FFFBEF
185,1,718,Plum,#9C2462
186,1,720,Orange Spice Dark,#E55C1F
187,1,721,Orange Spice Medium,#F27842
188,1,722,Orange Spice Light,#F7976F
189,1,725,Topaz Medium Light,#FFC840
190,1,726,Topaz Light,#FDD755
191,1,727,Topaz Very Light,#FFF1AF
192,1,728,Topaz,#E4B468
193,1,729,Old Gold Medium,#D0A53E
194,1,730,Olive Green Very Dark,#827B30
195,1,732,Olive Green,#948C36
196,1,733,Olive Green Medium,#BCB34C
197,1,734,Olive Green Light,#C7C077
198,1,738,Tan Very Light,#ECCC9E
199,1,739,Tan Ultra Very Light,#F8E4C8
200,1,740,Tangerine,#FF8B00
201,1,741,Tangerine Medium,#FFA32B
202,1,742,Tangerine Light,#FFBF57
203,1,743,Yellow Medium,#FED376
204,1,744,Yellow Pale,#FFE793
205,1,745,Yellow Pale Light,#FFE9AD
206,1,746,Off White,#FCFCEE
207,1,747,Peacock Blue Very Light,#E5FCFD
208,1,754,Peach Light,#F7CBBF
209,1,758,Terra Cotta Very Light,#EEAA9B
210,1,760,Salmon,#F5ADAD
211,1,761,Salmon Light,#FFC9C9
212,1,762,Pearl Gray Very Light,#ECECEC
213,1,772,Yellow Green Very Light,#E4ECD4
214,1,775,Baby Blue Very Light,#D9EBF1
215,1,777,Raspberry Very Dark,#913546
216,1,778,Antique Mauve Very Light,#DFB3BB
217,1,779,Cocoa Dark,#624B45
218,1,780,Topaz Ultra Very Dark,#94631A
219,1,782,Topaz Dark,#AE7720
220,1,783,Topaz Medium,#CE9124
221,1,791,Cornflower Blue Very Dark,#464563
222,1,792,Cornflower Blue Dark,#555B7B
223,1,793,Cornflower Blue Medium,#707DA2
224,1,794,Cornflower Blue Light,#8F9CC1
225,1,796,Royal Blue Dark,#11416D
226,1,797,Royal Blue,#13477D
227,1,798,Delft Blue Dark,#466A8E
228,1,799,Delft Blue Medium,#748EB6
229,1,800,Delft Blue Pale,#C0CCDE
230,1,801,Coffee Brown Dark,#653919
231,1,803,Baby Blue Ultra Very Dark,#2C597C
232,1,807,Peacock Blue,#64ABBA
233,1,809,Delft Blue,#94A8C6
234,1,813,Blue Light,#A1C2D7
235,1,814,Garnet Dark,#7B001B
236,1,815,Garnet Medium,#87071F
